Title,Item Type,Abbreviation,Dept,Building
Academic Human Resources -- see Academic Personnel Office (Kerr Hall),,,Yes,No
Academic Information System (2300 Delaware),,,Yes,No
Academic Personnel Office -- formerly Academic Human Resources (Kerr Hall),,,Yes,No
Academic Senate (Kerr Hall),,,Yes,No
Accounting Services (2300 Delaware Avenue),,,Yes,No
Administrative Records (Kerr Hall),,,Yes,No
"Admissions, Undergraduate (Hahn Student Services)",,,Yes,No
Affirmative Action/Equal Employment Opportunity (Kerr Hall),,,Yes,No
African American Student Life Resource and Cultural Center (Bay Tree Building),,,Yes,No
Alumni Relations (2155 Delaware Avenue),,,Yes,No
American Studies Department (Humanities & Social Sciences Facility),,,Yes,No
Anthropology Department (Social Sciences 1),,,Yes,No
Art Department (Elena Baskin Visual Arts Center),,,Yes,No
Art History/History of Art and Visual Culture Department (Porter College),,,Yes,No
Asian American/Pacific Islander Resource Center (Bay Tree Building),,,Yes,No
Astronomy & Astrophysics Department (Interdisciplinary Sciences Building),,,Yes,No
Baobab Lounge (Merrill College),,,Yes,No
Benefits (1201 Shaffer Rd.),,,Yes,No
Bike Co-op (Redwood Building),,,Yes,No
Biology: Ecology & Evolutionary (Earth & Marine Sciences),,,Yes,No
"Biology: Molecular, Cell & Developmental (Sinsheimer Labs)",,,Yes,No
Business Contracts (2300 Delaware Avenue),,,Yes,No
Campus Controller (2300 Delaware Avenue),,,Yes,No
Campus Provost/Executive Vice Chancellor (Kerr Hall),,,Yes,No
Capital Planning and Space Management (Kerr Hall),,,Yes,No
Career Center (Bay Tree Building),,,Yes,No
Cashier's Office (Hahn Student Services),,,Yes,No
Center for Biomolecular Science and Engineering (Engineering 2),,,Yes,No
Center for Cultural Studies (Cowell College),,,Yes,No
"Center for Global, International, & Regional Studies (Social Sciences 1)",,,Yes,No
"Center for Justice, Tolerance, and Community (Merrill College)",,,Yes,No
Center for Teaching Excellence (Kerr Hall),,,Yes,No
Central California Writing Project (Oakes College),,,Yes,No
Chancellor's Office (Kerr Hall),,,Yes,No
Chemistry and Biochemistry Department (Physical Sciences Building),,,Yes,No
Chicano/Latino Research Center (Merrill College),,,Yes,No
Chicano Latino Resource Center (Bay Tree Building),,,Yes,No
Child Care Services (Family Student Housing),,,Yes,No
Colleges and University Housing Services/CUHS - Hahn Student Services),,,Yes,No
Community Rentals Office (Hahn Student Services),,,Yes,No
Community Studies Department (Oakes College),,,Yes,No
Computer Engineering (Engineering 2),,,Yes,No
Computer Science Department (Engineering 2),,,Yes,No
Conference Services (2901 Mission Street),,,Yes,No
Controller’s Office (2300 Delaware Avenue),,,Yes,No
Copier Program (Classroom Unit),,,Yes,No
Copy Center - Express It! (Bay Tree Building),,,Yes,No
Counseling and Psychological Services (Kresge Annex B),,,Yes,No
Custodial Services (Barn G),,,Yes,No
Development Office (Carriage House),,,Yes,No
Dickens Project (Humanities and Social Sciences Facility),,,Yes,No
Digital Copy Services/ Express It! (Bay Tree Building),,,Yes,No
Disability Resource Center (Hahn Student Services),,,Yes,No
Earth and Planetary Sciences Department (Earth & Marine Sciences),,,Yes,No
East Asian Studies Program (Cowell College),,,Yes,No
Ecology & Evolutionary Biology Department (Earth & Marine Sciences),,,Yes,No
Economics Department (Engineering 2),,,Yes,No
